title	type	url_slug	date	location	description
Grace Hopper Celebration of Women in Computing 2014		hopper	10/8/2014	"Phoenix, AZ"	
ICER 2015		icer	8/10/2015	"Omaha, NE"	
Women Empowered in STEM (weSTEM) 2017		weSTEM	1/28/2017	"Urbana, IL"	
CHI 2017		chi	5/6/2017	"Denver, Colorado"	
Women Empowered in STEM (weSTEM) 2018		weSTEM	2/10/2018	"Urbana, IL"	
CSCW 2018		cscw	11/3/2018	"Jersey City, NJ"	
Women Empowered in STEM (weSTEM) 2019		weSTEM	2/23/2019	"Champaign, IL"	
Women Empowered in STEM (weSTEM) 2020		weSTEM	2/8/2020	"Champaign, IL"	
CHI 2020		chi	4/25/2020		
Rising Stars in EECS 2020		stars	11/9/2020		
Women Empowered in STEM (weSTEM) 2021		weSTEM	2/13/2021		
DIS 2022		dis	6/13/2022		
FanLIS 2022		fanlis	5/19/2022		
CSCW 2023		cscw	10/14/2023	"Minneapolis, MN"	
IEEE EIT 2024		eit	5/30/2024	"Eau Claire, WI"	
